UserName,Class,PredClass
czujl001,1,1
dayskylerm,1,1
djtheprofessor,1,1
dlmcmonagle,0,0
dolphin3464,1,1
drugiPR,0,1
ecolegareau3,0,1
edoecatie,1,1
egg_of_life,0,1
elvic4216,0,0
entity39353,1,1
escada21,1,1
ethanps307,0,0
evh2019,1,1
evlavs,1,1
fabnia,0,1
fangwolf12344,0,1
for35162,1,1
fornitebros,1,1
ftarlao,1,1
gabrielafontesbj55,1,1
gamerscooby,1,1
goinsgabriela4,1,1
guerriera2009,0,1
h9uj,1,1
hcc843996,1,1
hedgehogsarelife,1,1
hendrron001,1,1
hmiller2020,0,0
holden1259,0,0
hungry_manchild,1,1
iBAGFORFUN,1,1
ilooklikeahen,0,0
ilyagfr,1,1
im_am_a_pro,0,0
in2181,1,1
ineiger1,1,1
isacsm21,1,1
isaiahbonzi,0,0
itspeely5677,0,0
jackrules5225,1,1
jeromero2007,1,1
jferroo2019,0,1
jimmybonez,0,0
jiyeon__,0,0
jjj12i,1,1
jmassaro45,1,1
joaoabreubj630,1,1
johnyvandetta,1,1
js15760,0,0
juditramirez_stlluis,1,1
jufPetra,1,1
kamikami-king,1,1
kidasher,1,1
kimsionon,1,1
kirbylover1000,0,0
lbms31904,1,1
lbms71901,1,1
lbms71918,1,1
lexihardage,1,0
lg2019eac,1,1
liam_16,1,1
lilkin18,1,1
lillypuppy30,0,1
ly456789,1,1
masha_meshalkina,1,1
maximus_yakubovich,1,1
mc372763,1,1
metametaman,1,0
metilda09,1,1
mihernandez,1,1
minions9063,1,1
naroam19,1,1
objectboijed11,0,0
olivia1236,0,0
pd5ws13kk,1,1
pd5ws7BE,1,1
pd5ws8me,1,1
pedrosilveiraramos,1,1
pentele_pollak,1,1
pepperfrost,1,0
phosphorusl,1,0
pikamas,1,1
pikamew2a,1,0
profheloize,1,1
puppy545,1,1
pwhelan755,1,1
redcatthesecond,0,1
redfawn1,1,1
roberkae000,1,1
robert_andrei_n,1,1
rockefellerm,1,1
rpetech,1,1
s145007,1,1
sahilk8,0,0
sakthim28401,1,1
samos6958,1,1
sarahrovenstine,1,1
shabow3,1,1
snipershot2582,1,1
soniworld,1,1
soscruch,0,0
sp_g09,0,0
starriberri,1,1
starwar654,1,1
stokhorst,1,1
supersmashbros3s,1,1
swaggersouls68,0,1
systemic1959,1,1
szymonevil,0,0
tc007mi,1,1
the_fatblob,1,1
tiagoPedrico,0,0
timbob1013,0,0
triowolf,1,1
tripvalley,1,1
tw830,0,0
unicorn-rainbow-cat,1,0
valentinoCH,1,1
viewcity,1,1
vojvodina_mapper,0,0
werty136,1,1
wessonn,1,1
whcoco,1,1
why10110,1,0
willowssilverlove,0,0
yoplaits,1,1
youtuber_Lelu,0,0
yvng_slvmp,1,1
zachxdlol,1,1
zdunee,0,0
-Bianca_Di_Angelo-,1,1
-PeridotKitti-,0,1
-ThunderPaw-,1,1
-rainydayboy,0,1
012368kc,1,1
100025373,1,1
10628187,1,1
10744414,1,1
18b3_cy,0,0
18b3_diego,0,0
18b3_ventura,0,0
19045nicks,1,0
193b48,0,0
20011660,1,1
20011726,1,1
20012703,1,1
20015247,1,1
2006-666,1,1
21grago,1,1
22bbur01,0,0
22bwaite,1,1
247JMS,1,1
247KIM,1,1
3REva,1,1
48u3a2,0,1
5-F310,0,1
5AByron,1,1
6640005702,1,1
8011185AH,1,1
99795659,1,0
A73814643,1,1
Aftertale238,1,1
AgustoConMiArbusto,1,1
AlexGaming8DK,1,1
